species,sample_type,sample_subtype,classcode,Kingdom,Phylum,Class,Order,Family,Genus,Species,species_definition,taxonomic_source,common_name,mode,keep
CERFOL,QUAD,INVERT,CERFOL,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,foliatum,Ceratostoma foliatum,WoRMS,Leafy Hornmouth,,no
CERFOL,SWATH,INVERT,CERFOL,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,foliatum,Ceratostoma foliatum,WoRMS,Leafy Hornmouth,,no
CERNUT,QUAD,INVERT,CERNUT,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,nuttalli,Ceratostoma nuttalli,WoRMS,Nuttall's hornmouth,,no
CERNUT,SWATH,INVERT,CERNUT,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,nuttalli,Ceratostoma nuttalli,WoRMS,Nuttall's hornmouth,,no
CGIG,FISH,FISH,CGIG,Animalia,Chordata,Actinopterygii,Perciformes,Cryptacanthodidae,Cryptacanthodes,giganteus,Cryptacanthodes giganteus,WoRMS,Giant Wrymouth,,no
CITH,FISH,FISH,CITH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,spp,Citharichthys,WoRMS,Sanddabs,,no
CLAM,UPC,COVER,CLAM,Animalia,Mollusca,Bivalvia,NA,NA,NA,NA,Clam,PISCO,Clam,,no
CLIN,FISH,FISH,CLIN,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Clinidae,spp,Clinidae,WoRMS,Kelpfishes And Fringeheads,,no
CLUP,FISH,FISH,CLUP,Animalia,Chordata,Actinopterygii,Clupeiformes,NA,NA,NA,Clupeiformes,WoRMS,Sardines And Anchovies,,no
CNUG,FISH,FISH,CNUG,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Chirolophis,nugator,Chirolophis nugator,WoRMS,Mosshead Warbonnet,,no
COMTUN,UPC,COVER,COMTUN,Animalia,Chordata,Ascidiacea,NA,NA,NA,NA,"Tunicate -Colonial,Compund,Social",PISCO,"Tunicate -Colonial,Compund,Social",,no
CORCAL,UPC,COVER,CORCAL,Animalia,Cnidaria,Anthozoa,Corallimorpharia,Corallimorphidae,Corynactis,californica,Corynactis californica,WoRMS,Strawberry Anemone,,no
COSCOS,SWATH,ALGAE,COSCOS,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Costaria,costata,Costaria costata,WoRMS,Costaria,algae,yes
COTT,FISH,FISH,COTT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottidae,spp,Cottidae,WoRMS,Sculpins,,no
COTT,QUAD,FISH,COTT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottidae,spp,Cottidae,WoRMS,Sculpins,,no
CPRI,FISH,FISH,CPRI,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus,princeps,Caulolatilus princeps,WoRMS,Ocean Whitefish,,no
CPUG,FISH,FISH,CPUG,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Chitonotus,pugetensis,Chitonotus pugetensis,WoRMS,Roughback Sculpin,,no
CPUN,FISH,FISH,CPUN,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,punctipinnis,Chromis punctipinnis,WoRMS,Blacksmith,,no
CRAARB,SWATH,INVERT,CRAARB,Animalia,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,arb,Craniella arb,WoRMS,Grey Tennis Ball Sponge,,no
CRAGIG,SWATH,INVERT,CRAGIG,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,gigantea,Crassadoma gigantea,WoRMS,Rock Scallop,,no
CRIALB,SWATH,INVERT,CRIALB,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Cribrinopsis,albopunctata,Cribrinopsis albopunctata,WoRMS,White-Spotted Rose Anemone,,no
CROCAL,SWATH,INVERT,CROCAL,Animalia,Mollusca,Gastropoda,Littorinimorpha,Bursidae,Crossata,californica,Crossata californica,WoRMS,California Frog Shell,,no
CRUCOR,UPC,COVER,CRUCOR,Plantae,Rhodophyta,Florideophyceae,Corallinales,NA,NA,NA,Coralline Algae -Crustose,PISCO,Coralline Algae -Crustose,algae,yes
CRYSIT,SWATH,INVERT,CRYSIT,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,sitchensis,Cryptolithodes sitchensis,WoRMS,Umbrella Crab,invert_herbivore,yes
CRYSTE,SWATH,INVERT,CRYSTE,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,stelleri,Cryptochiton stelleri,WoRMS,Gumboot Chiton,invert_herbivore,yes
CSAT,FISH,FISH,CSAT,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Cheilotrema,saturnum,Cheilotrema saturnum,WoRMS,Black Croaker,,no
CSOR,FISH,FISH,CSOR,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus,Citharichthys sordidus,WoRMS,Pacific Sanddab,,no
CSTI,FISH,FISH,CSTI,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,stigmaeus,Citharichthys stigmaeus,WoRMS,Speckled Sanddab,,no
CUCMIN,SWATH,INVERT,CUCMIN,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,miniata,Cucumaria miniata,WoRMS,Orange Sea Cucumber,,no
