Paper_no.,Year of publication,Latitude,Trophic study,Organizational scale,Organism type,Biome,No. resource taxa,No. consumer taxa,Study type,Empirical type,Effect of diversity,Effect of asynchrony,Sync. mechanisms ,Async. Mechanisms,Effect of predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2019,43,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,stability and diversity decreased with nitrogen addition; spatial asynchrony was unaffected by nitrogen addition; species asynchrony decreased with nitrogen addition,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2019,44,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,observational,Yes,Yes,NA,variation in environmental degredation led to  differences in community structure and increased stability and resilience; indicates intermediate disturbance hypothesis,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2019,-0.65,monotrophic,Community,zooplankton,aquatic,aquatic,river-reservoir,emperical,observational,NA,NA,environmental synchrony increases population synchrony for all species; spatial distance was not related to environmental synchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2017,35,monotrophic,Community,Phytoplankton,aquatic,aquatic,lake,emperical,experimental,No,No,NA,species richness and diversity had a negative effect on species turnover,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2017,75,multitrophic,Community,many,marine,marine,marine,emperical,observational,NA,Yes,dispersal and environmental variation likely increases synchrony,NA,system_stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2017,41,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,environmental variation led to increased synchrony and decreased stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2018,NA,monotrophic,Population,Insecta,terrestrial,terrestrial,NA,theoretical,NA,NA,Yes,NA,timescale specific environmental conditions will cause changes in time-scale specific synchrony; dispersal influences this as well,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2018,34 to 39,monotrophic,Community,Aves,terrestrial,terrestrial,Grassland,emperical,observational,Yes,NA, water and precipitation led to greater similarities; differences across habitat types,temperature variability led to differences in community structure; disprepencies across habitat types,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2016,34.5,multitrophic,Community,Plankton,aquatic,aquatic,lake,emperical,observational,Yes,Yes,NA,stability via portfolio effects,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2018,Multi-region,monotrophic,Community,Pices,marine,marine,benthic marine,emperical,observational,NA,Yes,NA,spatial PE was stronger than species PE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2018,49,monotrophic,Community,Plantae,terrestrial,terrestrial,riparian,emperical,experimental,NA,Yes,NA,dry environments promote prevelance of species asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2018,43,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,species richness promoted species asynchrony through species asynchrony; variability of mean temperature reduced richness; variability of precipitation reduced species asynchrony and community stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2018,NA,monotrophic,Population,Pices,aquatic,aquatic,oceanic-river interface,theoretical,NA,NA,Yes,NA,increased population connectivity via trucking increases genetic homogenization and decreases stability and asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
