Paper_no.,Year of publication,Latitude,Trophic study,Organizational scale,Organism type,Biome,No. resource taxa,No. consumer taxa,Study type,Empirical type,Effect of diversity,Effect of asynchrony,Sync. mechanisms ,Async. Mechanisms,Effect of predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2005,68.9,monotrophic,Population,aves,terrestrial,terrestrial,Forest,emperical,observational,NA,NA,parasites may play a role in generating synchronous density fluctuations at local scales,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2000,-45.86,monotrophic,Community,plantae,terrestrial,terrestrial,lawn,emperical,experimental,Yes,NA,NA,"tendencies of the lawn species to compete asymmetrically, and to be arranged in competitive hierarchies, were found to be positively associated with stability",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1998,NA,monotrophic,Population,model,model,NA,NA,theoretical,modelled,NA,No,This form of dispersal also has a strong tendency to synchronize local population dynamics across the spatial extent of the metapopulation,Fitness-dependent dispersal has a very strong stabilizing effect on population dynamics,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1999,46.09,monotrophic,Population,aves,terrestrial,terrestrial,mountain,emperical,observational,NA,NA,spatial synchrony increased with hierarchal scale; infuence of stochastic events operating on populations with dierent density dependence structures,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1999,40.37,monotrophic,Population,mammalia,terrestrial,terrestrial,Grassland,emperical,observational,NA,Yes,within species synchrony varied among species; driven by resource availability,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1999,Multi-region,monotrophic,Community,many,AT,terrestrial & aquatic,grassland + lake,emperical,observational,Yes,Mixed,predator decline decreased compositional variability,exotic introduction increased compositional variability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1998,NA,monotrophic,Population,model,model,NA,NA,theoretical,modelled,NA,Yes,High levels of interpatch migration are often negative for population persistence,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1998,NA,monotrophic,Population,pices,model,NA,NA,theoretical,modelled,NA,Yes,The homogenisation of metapop. allows synchrony between local populations and then a stock-recruit ment relationship is observable at the metapop scale; influenced by dispersal,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1998,NA,monotrophic,Population,model,model,NA,NA,theoretical,modelled,NA,Yes,"Spatial structure alone can generate positive, negative or zero correlations; environmental heterogeneity produces positive correlations",stability is maximized when patches are uncorrelated,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1998,43.15,monotrophic,Community,Insecta,terrestrial,terrestrial,mountain,emperical,observational,NA,Yes,less stable assemblages in physically `harsh' environ- ments,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1998,45.4,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,theoretical,modelled,Yes,Yes,NA,statistical averging might play a substantial role in explaining stability-diversity correlations,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1998,Multi-region,monotrophic,Population,many,AT,terrestrial & aquatic,grassland + river,emperical,modelled,NA,NA,synchrony between grasshopper populations driven by similar environmental conditions (precip. And temp);  same with trout,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1997,NA,multitrophic,Host-parasite,model,terrestrial,terrestrial,agriculture,theoretical,modelled,NA,Yes,NA,in the presence of predators asynchronous planting may produce the lowest pest densities,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1996,NA,multitrophic,Predator-prey,Protist,aquatic,aquatic,Aquatic,emperical,experimental,NA,Yes,"Immigration of predators increased the frequency of local extinctions of prey, and immigration of prey increased the persistence of both predators and pre","(1) asyn- chronous fluctuations in different subpopulations; (2) frequent local prey extinctions and recolonizations; (3) persistence of protists in arrays, despite extinction of isolated local populations; and (4) rescue effects in predator populations.",predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1996,NA,multitrophic,Predator-prey,Protist,aquatic,aquatic,Aquatic,emperical,experimental,NA,Yes,predators over-exploited prey in undivided microcosms that both became scar,spatial variability decreased with dispersal,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1996,45.4,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,"compensatory increases stabilize total community biomass, but cause species abundances to be more variable.",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1996,NA,monotrophic,Community,model,model,NA,NA,theoretical,modelled,Yes,Yes,NA,asynchrony across local scales promotes stability in non-linear fashion,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1995,Multi-region,monotrophic,Population,many,MAT,multiple,multiple,emperical,observational,NA,NA,NA,with dispersal the level of synchrony decreases with distance among the populations,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1993,50.41,monotrophic,Population,plantae,terrestrial,terrestrial,Grassland,emperical,observational,NA,Mixed,NA,Large-scale dynamics were not correlated with small-scale dynamics,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1993,NA,multitrophic,Host-parasite,model,model,NA,NA,theoretical,modelled,NA,NA,spatial heterogeneity and constant parisitism doesn't affect dynamic stability,spatial heterogeneity and heterogeneous parisitism reduces dynamic stability,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1992,NA,multitrophic,Host-parasite,model,model,NA,NA,theoretical,modelled,NA,Yes,NA,stability properties can be explained in terms of asynchrony in the population fluctuations of each of the constituent patches;  stochastic perturbations produce heterogeneity in the densities of prey and predators and act to stabilize overall population dynamics. ,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2021,NA,monotrophic,Population,pices,aquatic,aquatic,river,emperical,observational,NA,Yes,NA,lower autocorrelation improves the potential portfolio effect,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2021,44.45,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,No,elevated temperature and mutualism suppression independently decreased the community temporal stability but that N addition had no impact.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2021,NA,monotrophic,Community,model,aquatic,aquatic,rockpool,theoretical,modelled,Yes,NA,NA,"species required to maintain functioning increases quickly when environmental autocorrelation is low, and slowly when autocorrelation is high",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2021,41.25 to 50.10,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,drought leads to synchrony,"species asynchrony, not species richness or species stability, was the most important mechanism promoting stability of ANPP, ",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2021,NA,monotrophic,Community,aves,terrestrial,terrestrial,alpine,emperical,observational,Yes,Mixed,elevation led to increases in species turnover but rate of change decreased; more erratic at elevation; forest communities had higher synchrony because there was more functional redundancy; alpine least stable due to low richness,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2021,108.47 to 114.15,monotrophic,Community,plantae,terrestrial,terrestrial,Forest,emperical,observational,Yes,Yes,NA,"Tree species richness exerted a positive effect on stability through overyield- ing and species asynchrony, and this effect was stronger in mountainous forests than in hilly forests.",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2020,52 to 54,monotrophic,Population,pices,marine,marine,coastal,emperical,observational,NA,Yes,NA,spatially asynchronous but reduction in portfolio effect over time ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2019,56.11,multitrophic,Community,aves,marine,marine,coastal,emperical,observational,NA,No_pred-prey,improved synchrony may enable shags to lay more eggs on average,no fitness signatures consistent with an increase in climate-induced trophic asynchrony,no_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2021,43.33 to 45.69,monotrophic,Community,plantae,terrestrial,terrestrial,Forest,emperical,observational,Yes,Yes,NA,asynchrony between species leads to greater stability in productivity; varies along an ecological gradient,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2020,43.38,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,species asynchrony and stability of PFGs contributed to the high temporal stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2020,36.25,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,observational,NA,NA,Precipitation and gopher disturbance were significant driver of site- and community-wide synchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2021,NA,multitrophic,Community,Plankton,aquatic,aquatic,lake,emperical,observational,Yes,Yes,"Total nitrogen (TN) influenced the seasonal stability indirectly via changes in phyto- plankton taxon richness, synchrony, and commu- nity dominance.",NA,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2021,32.48,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,decrease of species asynchrony contributed most to the reducing plant community biomass stability under high N addition rates,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2020,42.23 to 42.29,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,yes,in degraden grasslands species richness and dominant species stability regulated stability,community temporal stability of the non-degraded and moderately degraded grasslands was mainly driven by species asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,2020,44.2,monotrophic,Community,plantae,terrestrial,terrestrial,forest,emperical,observational,Mixed,Yes,NA,"Greater standing tree volume, stem density and interspecific variation in growth rates enhanced pro- ductivity stability both directly and indirectly via increased asynchrony",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,2020,NA,multitrophic,Community,pices,marine,marine,coastal,emperical,observational,NA,Yes,NA,"diminished trophic stability in one area and increased stability in another, thereby emphasizing the impor- tance of spatiotemporal heterogeneity in maintaining food web structure and function",predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2020,42.41,monotrophic,Community,Insecta,terrestrial,terrestrial,Forest,emperical,observational,Yes,Yes, gradual decline of natives matched by an equal gradual rise in the abundance of exotics contributed to the negative correlation that stabilized the community,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2020,39.34 to 49.96,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,"Precipitation fluctuations synchronized population dynamics within communities, reducing their stability","Community stability was independent of species richness but was regulated by species synchrony and population dynamics, especially of abundant species.",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2019,NA,monotrophic,Population,mammalia,terrestrial,terrestrial,Grassland,emperical,modelled,NA,Yes,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,2020,Multi-region,monotrophic,Community,pices,aquatic,aquatic,river,emperical,meta,NA,No,populations of non-native fishes were more variable scaling to the community level leading to destabilization,no effect of or difference in synchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2020,Multi-region,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,observational,NA,Yes,population variability was typically greater over longer compared to shorter timescales,at some sites: d ifferentially stronger compensatory dynamics at longer compared to shorter timescales produced lower-than-expected commu- nity variability on longer timescal,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,2020,Multi-region,monotrophic,Community,Insecta,terrestrial,terrestrial,Forest,emperical,observational,Yes,Yes,NA,synchrony and high diversity of microhabitat structure of Scots pine forests promote the stability of soil animal communities,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2020,18.28,multitrophic,Community,many,marine,marine,Intertidal,emperical,observational,Yes,yes; scale-dependent,NA,"synchrony: (1) asynchrony among species of a local community, (2) asynchrony among populations of a metapopulation, and (3) cross-community asynchrony, which is between different species in different local communities and underlies spatial insurance; pH and DO increased asynchrony",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2020,Multi-region,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,observational,Yes,Yes,NA,"Climate variability strongly predicted asynchrony, whereas NPP stability was more related to soil conditions; . Soil conditions had no detectable effect on asynchrony but increased stability by increasing the mean NPP, especially when soil organic mat-ter was high.",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2020,Multi-region,monotrophic,Community,pices,marine,marine,oceanic,emperical,observational,NA,NA,NA,asynchrony in landings but not biomass,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2020,Multi-region,monotrophic,Community,aves,terrestrial,terrestrial,multiple,emperical,observational,Yes,Yes,NA,spatial asynchrony of bird biomass increased with bird β-diversity and climate heterogeneity,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2020,22.34,monotrophic,Community,plantae,terrestrial,terrestrial,Forest,emperical,experimental,Yes,No,asynchrony did not influence stability; dominant spp. did,species richness and phylogenetic diversity significantly stabilized community productivity,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2019,42.22,monotrophic,Community,plantae,terrestrial,terrestrial,Forest,emperical,experimental,Yes,Yes,NA,community temporal stability of aboveground biomass was driven by a strong direct positive effect of species asynchrony; t temporal niche differentiation and facilitation increase over time,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2019,43.46 to 45.83,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,observational,Yes,Yes,NA,species asynchrony regulated the temporal standard deviation (σ) of ANPP; varied with precip,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2019,30.51,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,no_effect,Yes," N enrichment increased synchrony among the dominant species, which contributed to a significant increase in synchrony of the whole community",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2020,NA,monotrophic,Community,model,model,NA,NA,theoretical,modelled,NA,NA,"in absence of competition synchrony between the species is driven by the environment, similar to the Moran effect within a species. ",competition between the two species causes their abun- dances to become less positively or more negatively correlated; ovement increases the distance over which the species are (positively or negatively) correlated,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2020,NA,monotrophic,Community,Insecta,terrestrial,terrestrial,forest,emperical,observational,NA,NA,Correlation analysis showed that interspecific synchrony is gen- erally strongest between species within same feeding guild;meteorological factors tend to affect similar free-feeding species that are synchronous with each othe,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2019,48.38,monotrophic,population,crustacea,marine,marine,Intertidal,emperical,modelled,NA,Yes,NA,regimes of spatial (a)synchrony explain a tradeoff between the regional retention of matter (ecosystem function) and metapopulation persistence,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2019,32.48,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,no_effect,Yes,reduction in precipitation led to decreased asynchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2017,34.27,multitrophic,Community,Plankton,aquatic,aquatic,lake,emperical,observational,Yes,NA,NA,Phytoplankton community turnover tended to decrease with increasing phytoplankton evenness,prey_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2019,47 to 54,monotrophic,Population,model,marine,marine,coastal,theoretical,modelled,NA,Yes,stability decreases with positive covariance in connectivity,stability increases with negative covariance in connectivity; stability increases with larval duration,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2017,42.02,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,no_effect,Yes,daytime warming reduced temporal stability mainly through reduction in abundance of dominant stable species,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2018,NA,multitrophic,Predator-prey,model,model,NA,NA,theoretical,modelled,NA,Yes,"increasing the level of prey plasticity consistently destabilizes the system, as measured by the amplitude of oscillations and the coefficients of varia- tion of both total prey and total predator biomasses",NA,predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2018,Multi-region,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,high species richness and phylogenetic diversity stabilize biomass production via enhanced asynchrony in the performance of co- occurring species. Contrary to expect; slow species enhance ecosystem stability by increasing mean biomass production,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2016,42.41,monotrophic,Population,Insecta,aquatic,aquatic,lake,emperical,experimental,NA,Yes,NA,dispersal enhanced temporal asynchrony among clones in the presence of nutrient pulses; this in turn stabilized population dynamic,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2018,51.21,monotrophic,Community,pices,aquatic,aquatic,river,emperical,observational,Yes,Yes,NA,asynchrony within spatial guilds of fish assemblage,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2018,NA,multitrophic,Predator-prey,model,model,NA,NA,theoretical,modelled,NA,Yes,NA,structure of spatial network influences effect of asynchrony on stability,predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2015,41.4,monotrophic,Population,pices,aquatic,aquatic,lake,emperical,observational,NA,Yes,NA,weak correlation in recruitment between spatial subsidies,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2018,41.1,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,no_effect,Yes,NA,"N turnover at the community level was positively associated with asynchrony in biomass production, which in turn increased community temporal stability. Elevated CO 2 and summer irrigation, but not warming, enhanced community N turnover and stability",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2018,Multi-region,multitrophic,Predator-prey,pices,marine,marine,coastal,emperical,observational,no_effect,Yes,NA,"Abundances of predator populations within assemblages gen- erally varied independently of one another (neither synchronously nor asynchronously), implying an intermediate stabilization on predation intensity by predator diversity",predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2018,35.57,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,high nitrogen reduced community stability which was correlated with synchrony and stability of dominant species,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2018,9.55,multitrophic,Community,invertebrate,marine,marine,coastal,emperical,observational,Yes,Yes,Fishing for large herbivores synchronized the fish guilds,asynchrony among fish guilds maximized persistence,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2018,43.4,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,no_effect,Yes,NA,asynchrony across functional groups promoted stability; dominant species maximized stability; asynchrony increased with grazing,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2013,45.23,monotrophic,Community,zooplankton,aquatic,aquatic,lake,emperical,observational,NA,Yes,invasion increased synchrony and decreased stability,asynchrony 2-years post invasion; driven by dominant species,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2012,NA,multitrophic,Community,Plankton,aquatic,aquatic,NA,emperical,experimental,Yes,Yes,resource diversity decreased resource population stability; no effect on consumer diversity,average increase in resource biomass increased stability; resource diversity led to greater resource asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2012,NA,multitrophic,Community,model,model,NA,NA,theoretical,modelled,Yes,No,"risk of extinction increases with reduction of primary producers, create trophic cascades, particularly among specialized consumers","risk of extinction and trophic cascades increases with diversity (specialization); however, extinction increases with synchrony",prey_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2012,NA,monotrophic,Community,bacteria,aquatic,aquatic,NA,emperical,experimental,NA,Yes,NA,environmentally induced negative species covairance,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2011,Multi-region,monotrophic,Community,aves,terrestrial,terrestrial,many,emperical,observational,Yes,NA,NA,richness and evenness both positively affect the stability of individual populations and communities. ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2011,50.02,multitrophic,Community,many,marine,marine,rocky reef,emperical,observational and experimental,NA,No,NA,population asynchrony in algae in the absence of otters; but this is not stabilizing,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2011,50.9,multitrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Yes,NA,NA,spatial and temporal stability increased to a similar extent with plant diversity; above-ground insects increased temporal stability,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2010,45.4,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,specific species loss is more important than random species loss in driving stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2010,37.13,multitrophic,Community,many,marine,marine,eelgrass,emperical,observational,NA,Yes,NA,environmental variation structured the community; mix of top-down and bottom-up drivers by species/trophic level,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2010,NA,multitrophic,Community,many,model,NA,NA,theoretical,modelled,NA,Yes,strong interactions lead to increased extinction risk,"basal species donot simply track the environment, i.e. species dynamics do not simply mirror the characteristics of theapplied environmental stochasticity. Second, the extinction risk of species was related to the fluctuationpatterns of the species.",predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2004,43.33,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,NA,NA,NA,mowing influenced the trajectories of communities,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2004,NA,monotrophic,Population,fungi,terrestrial,terrestrial,NA,emperical,modelled,NA,Yes,NA,lack of synchrony and environmental variation promotes the mean dispersal effect across populations,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2007,31.28 and 31.05,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,observational,Yes,NA,no differences in summed covariances across praries, biomass  response  to  natural  variation  in  precipitation  depended  as  much  on  characteristics  of  adominant grass as on differences in diversity,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2007,51.67,monotrophic,Community,rodent,terrestrial,terrestrial,forest,emperical,observational,NA,No,synchrony between populations but antiphase in dominant species,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2002,NA,monotrophic,Community,microbes,aquatic,aquatic,NA,emperical,experimental,no_effect,No,no differences in summed covariances across diversity treatments,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2007,45 to 68,monotrophic,Community,zooplankton,aquatic,aquatic,lake,emperical,observational,Yes,NA,NA,"Community  stability  increases  with  diversity  among  lakes  in  thetemperate zone; however, the two are negatively correlated across latitudinal gradients",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2006,45.57 to 46.11,multitrophic,Predator-prey,mammalia,terrestrial,terrestrial,Grassland,emperical,observational,NA,Yes,geographic synchrony in predators and in prey populations --and predator-prey links; influenced by snow,NA,predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2001,31.91,multitrophic,Community,mammalia,terrestrial,terrestrial,desert,emperical,experimental,NA,Yes,NA,we detected negative covariances in the rodent community in response plant community variation in response to environmental variation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2005,40.89,multitrophic,Community,pices,marine,marine,oceanic,emperical,observational,NA,Yes,NA,Biomass  of  species-sizeswithin known trophic guilds strongly compensatedother guild-member biomass fluctuations if the dietof guild members was more specialized; competition fosters greater compensatory responses among competitors,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2005,NA,monotrophic,Community,Algae,aquatic,aquatic,Aquatic,emperical,experimental,NA,Yes,NA,stable coexistence and compensatory dynamics under fluctuating but not constant temper-ature,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2000,37.19 to 45.99,monotrophic,Community,Plankton,aquatic,aquatic,lake,emperical,experimental,NA,NA,NA,divergence with environmental treatment; convergence after recovery,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2000,NA,monotrophic,population,ciliate,aquatic,aquatic,NA,emperical,experimental,NA,NA,population dynamics are sensitive to environmental color,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2000,1,multitrophic,Community,many,terrestrial,terrestrial,Forest,emperical,observational,NA,NA,NA,temperature variation leads to variation in seed production across species,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2000,1,multitrophic,Community,many,terrestrial,terrestrial,Forest,emperical,experimental,NA,NA,NA,predator-induced synchrony also allows for release from predation,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2000,30.56,monotrophic,Community,plantae,terrestrial,terrestrial,desert,emperical,observational,NA,Yes,NA,environmental variation leads to biotic variation; spatially explicit responses leading to spatial variability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2000,55.13,multitrophic,Community,mammalia,terrestrial,terrestrial,Forest,emperical,observational,NA,No_pred-prey,NA,predation on voles stabilized population dynamics,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,1999,Multi-region,multitrophic,Community,aves,terrestrial,terrestrial,oak woodland,emperical,observational,Yes,Yes,NA,overall  population  size  is  primarily determined  by  resource  abundance  while  population  stability  is  determined by resource diversity; asynchrony among oak acorn production,prey_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,1998,Multi-region,monotrophic,population,invertebrate,marine,marine,coastal,emperical,observational,NA,Yes,synchrony is regulated by dispersal for crabs,geographic barriers to CA current desynchronize populations,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1997,NA,multitrophic,Predator-prey,model,terrestrial,terrestrial,forest,theoretical,modelled,NA,Yes," predators and parasites act multiplicatively on the predation rate, the synchronous cycles in predator densities and parasite burdens create a synergistic effect that destabilizes hare-predator-parasite population dynami",NA,predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1996,NA,multitrophic,Predator-prey,model,model,NA,NA,theoretical,modelled,NA,Yes,NA,widespread dispersal of predator offspring can actually stabilize dynamics and lead to novel patterns of spatial organization of predator and prey population,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2021,42.02,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,NA,Yes,P addition promoted compositional turnover,fungal communities  reduced  community  variance  in  primary  productivity  by  reducing  species  synchrony  at  high  levels  of  P  addition,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
